Number,Icon,Status,Kind,Categories,Findings,Python source
45,car-wrench-service-content-sub32,fail,symbol,Bounds; Spacing; Symmetry,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-4-1]: path-4-1 and path-6-1 are 1.95806 apart on centerlines nearest (4.04872, 23.8372)<->(6, 24); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-5-1]: path-5-1 and path-6-1 are 0.96176 apart on centerlines nearest (27.9564, 23.8989)<->(27, 24); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
symmetry [p6-r1-1]: ink is 99.98% mirrored about vertical axis 16, but centerline differs by 0.961751 units near [5.0, 24.0]",icon_set/model/icons/symbol/car_wrench_service_content_sub32_245fc45b_1580_4530_93b9_2d61d874ff67.py
46,car-wrench-service-content-top-sub32,fail,symbol,Bounds; Spacing; Symmetry,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-1-1]: parallel straight edges p1-r1-3 and p1-r1-6 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-4-1]: path-4-1 and path-6-1 are 1.95806 apart on centerlines nearest (4.04872, 8.1628)<->(6, 8); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-5-1]: path-5-1 and path-6-1 are 0.96176 apart on centerlines nearest (27.9564, 8.10113)<->(27, 8); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
symmetry [p6-r1-1]: ink is 99.98% mirrored about vertical axis 16, but centerline differs by 0.961751 units near [5.0, 8.0]",icon_set/model/icons/symbol/car_wrench_service_content_top_sub32_7a2552f6_ae52_4b87_a510_432f8be7e0ec.py
47,cargo-ship-symbol-sub32,fail,symbol,Spacing,"mic [path-1-1]: parallel straight edges p1-r1-2 and p2-r1-2, p2-r1-3, p2-r1-4 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: parallel straight edges p1-r1-6 and p2-r1-2, p2-r1-3, p2-r1-4 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/cargo_ship_symbol_sub32_ab3ea798_6eb7_4962_94f0_08838f608e51.py
48,chevron-down-hollow-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-1-1]: parallel straight edges p1-r1-2 and p1-r1-4 are 5.65685 apart on centerlines (ink gap 1.65685); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: parallel straight edges p1-r1-1 and p1-r1-5 are 5.65685 apart on centerlines (ink gap 1.65685); requires at least 8 centerline / 4 ink (midpoint-normal)
internal-spacing [path-1-1]: p1-r1-1 and p1-r1-5 have 1.6569 units of ink clearance over 13.1168 units; requires 2; review required
internal-spacing [path-1-1]: p1-r1-2 and p1-r1-4 have 1.6569 units of ink clearance over 13.1168 units; requires 2; review required",icon_set/model/icons/symbol/chevron_down_hollow_sub32_36c104f4_7460_4a4c_a82c_b3deab632cce.py
49,chili-peppers-three-sub32,fail,symbol,Spacing; Grid,"style/grid [p1-r1-4]: radius_x must be a positive integer, got 2.1213203435596424
style/grid [p1-r1-4]: radius_y must be a positive integer, got 2.1213203435596424
style/grid [p5-r1-2]: radius_x must be a positive integer, got 2.1213203435596424
style/grid [p5-r1-2]: radius_y must be a positive integer, got 2.1213203435596424
holes/pinches: 3 undersized holes; 0 pinches
internal-spacing [path-5-1 / path-6-1]: p5-r1-2 and p6-r1-2 have -2.619 units of ink clearance over 2 units; requires 2; review required",icon_set/model/icons/symbol/chili_peppers_three_sub32_928dd597_914b_4e96_8b61_a0c0fab4c55c.py
50,circle-heartbeat-content-sub32,review,symbol,Spacing,"mic [path-1-1]: path-1-1 and path-2-1 are 5.99989 apart on centerlines nearest (29.9998, 15.9632)<->(24, 16); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/circle_heartbeat_content_sub32_e2fc54fd_f508_44e9_8bfb_11dee5fb3a31.py
51,clapperboard-play-content-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-4-1]: parallel straight edges p4-r1-1 and p1-r1-7 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: parallel straight edges p1-r1-1 and p2-r1-1 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: path-1-1 and path-4-1 are 6 apart on centerlines nearest (5, 14)<->(11, 14); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/clapperboard_play_content_sub32_157c8513_84c8_4095_a71f_ec04c857771a.py
52,cocktail-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (2.95444, 0, 29.0456, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [0.9544, 0.0, 0.9544, 0.0], tolerance 0.0)",icon_set/model/icons/symbol/cocktail_sub32_4e9eff0a_91b1_4736_8893_c4364a52e7a0.py
53,code-gear-content-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-1-1]: parallel straight edges p1-r1-2 and p1-r1-12 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: parallel straight edges p1-r1-6 and p1-r1-8 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/code_gear_content_sub32_fdb8d237_6955_4173_b025_65b683308e84.py
54,code-programing-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-1-1]: path-1-1 and path-2-1 are 5.67424 apart on centerlines nearest (13.4071, 25.7205)<->(8, 24); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-1-1]: path-1-1 and path-3-1 are 4.72131 apart on centerlines nearest (19.5009, 6.56848)<->(24, 8); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/code_programing_sub32_2b2755f6_afff_4284_a954_40e23b277e6f.py
55,colon-currency-sign-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)",icon_set/model/icons/symbol/colon_currency_sign_sub32_a48b3aac_95e9_403d_8bce_d467fba83570.py
56,comedy-mask-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)",icon_set/model/icons/symbol/comedy_mask_sub32_e96d51a7_799a_4b44_bf43_4a82353969e1.py
57,controls-previous-video-sub32,fail,symbol,Bounds; Spacing; Symmetry,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-1-1]: path-1-1 and path-2-1 are 5 apart on centerlines nearest (5, 16)<->(10, 16); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
symmetry [p2-r1-2]: ink is 98.17% mirrored about horizontal axis 16, but centerline differs by 0.186908 units near [11.0, 15.0]
symmetry [p2-r1-3]: ink is 98.17% mirrored about horizontal axis 16, but centerline differs by 0.186908 units near [11.0, 15.0]
symmetry [p2-r1-4]: ink is 98.17% mirrored about horizontal axis 16, but centerline differs by 0.186047 units near [11.186046511627907, 16.906976744186046]",icon_set/model/icons/symbol/controls_previous_video_sub32_d97ce210_8c87_47ca_ad69_8c331dcbc800.py
58,couple-broken-heart-sub32,fail,symbol,Other,holes/pinches: 3 undersized holes; 0 pinches,icon_set/model/icons/symbol/couple_broken_heart_sub32_c2a597c8_14e7_4ae0_abaa_97e0be0e581e.py
59,couple-busts-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)",icon_set/model/icons/symbol/couple_busts_sub32_a76c7c2d_a4c9_4c4a_8eec_dac04079bf30.py
60,couple-holding-heart-sub32,fail,symbol,Other,holes/pinches: 2 undersized holes; 0 pinches,icon_set/model/icons/symbol/couple_holding_heart_sub32_f2daf0ba_15a3_4a60_9032_327f30c4b825.py
61,croissant-and-coffee-sub32,fail,symbol,Bounds; Spacing; Grid,"style/grid [p1-r1-3]: radius_x must be a positive integer, got 1.4142135623730951
style/grid [p1-r1-3]: radius_y must be a positive integer, got 1.4142135623730951
style/grid [p1-r1-5]: radius_x must be a positive integer, got 1.118033988749895
style/grid [p1-r1-5]: radius_y must be a positive integer, got 1.118033988749895
canvas/keyshape bounds: visible ink (0, 3, 32, 28.5109) does not match the HRECT_L envelope (0, 4, 32, 28) (deltas [0.0, 1.0, 0.0, 0.5109], tolerance 0.0)
mic [path-1-1]: parallel straight edges p1-r1-1 and p1-r1-4 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: path-1-1 and path-3-1 are 5.02888 apart on centerlines nearest (9.09483, 12.042)<->(7.20849, 16.7037); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
holes/pinches: 1 undersized holes; 1 pinches",icon_set/model/icons/symbol/croissant_and_coffee_sub32_15142e4e_b0bd_491b_8e9e_d5620b4c6f6c.py
62,curly-brackets-sub32,fail,symbol,Bounds; Symmetry,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
symmetry [p1-r1-2]: ink is 99.19% mirrored about horizontal axis 16, but centerline differs by 0.127199 units near [7.277829603292048, 17.177517602220178]
symmetry [p1-r1-3]: ink is 99.19% mirrored about horizontal axis 16, but centerline differs by 0.127198 units near [7.169048022013158, 14.75652662711218]
symmetry [p2-r1-2]: ink is 99.19% mirrored about horizontal axis 16, but centerline differs by 0.127199 units near [24.722170396707952, 17.177517602220178]
symmetry [p2-r1-3]: ink is 99.19% mirrored about horizontal axis 16, but centerline differs by 0.127198 units near [24.830951977986842, 14.75652662711218]",icon_set/model/icons/symbol/curly_brackets_sub32_b0b92f6f_2602_450a_ad0e_3d84e809ce25.py
63,currency-dollar-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)",icon_set/model/icons/symbol/currency_dollar_sub32_3334fbb0_436e_4762_bc8a_40fa2559c98c.py
64,curved-dam-wall-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-1-1]: parallel straight edges p1-r1-7 and p1-r1-5 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: parallel straight edges p1-r1-3 and p1-r1-1 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/curved_dam_wall_sub32_f9f457f4_66e4_4c02_af5b_93edb4742bbd.py
65,cycling-sub32,fail,symbol,Spacing,"holes/pinches: 1 undersized holes; 0 pinches
internal-spacing [path-4-1]: p4-r1-2 and p4-r1-4 have -3.1667 units of ink clearance over 3.2299 units; requires 2; review required",icon_set/model/icons/symbol/cycling_sub32_8d3730da_df45_48a8_9d4e_6cf0a350df28.py
66,diamond-ring-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (2.94307, 0, 29.0569, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [0.9431, 0.0, 0.9431, 0.0], tolerance 0.0)
holes/pinches: 1 undersized holes; 0 pinches
internal-spacing [path-1-1 / path-2-1]: p1-r1-2 and p2-r1-1 have 0.0234 units of ink clearance over 3.2444 units; requires 2; review required
internal-spacing [path-1-1 / path-2-1]: p1-r1-3 and p2-r1-1 have 1.0013 units of ink clearance over 7.0952 units; requires 2; review required
internal-spacing [path-1-1 / path-2-1]: p1-r1-4 and p2-r1-1 have 0.0234 units of ink clearance over 3.2444 units; requires 2; review required",icon_set/model/icons/symbol/diamond_ring_sub32_3ec0efca_b302_4a23_87c5_6aa89c09fa95.py
67,disabled-battery-content-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-1-1]: path-1-1 and path-2-1 are 6 apart on centerlines nearest (2, 18)<->(2, 24); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-1-1]: path-1-1 and path-4-1 are 0 apart on centerlines nearest (23.207, 5.79305)<->(23.207, 5.79305); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-2-1]: path-2-1 and path-3-1 are 6 apart on centerlines nearest (24, 19)<->(30, 19); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-2-1]: path-2-1 and path-4-1 are 0 apart on centerlines nearest (2.87868, 26.1213)<->(2.87868, 26.1213); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/disabled_battery_content_sub32_49cd19ff_6293_48fa_8d62_d508a17a80ae.py
68,document-upload-content-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-1-1]: path-1-1 and path-2-1 are 6 apart on centerlines nearest (27, 15)<->(21, 15); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/document_upload_content_sub32_b724f792_07ff_4baa_b3d7_a8da4f357c76.py
69,dollar-sign-over-lines-sub32,fail,symbol,Spacing,mic [path-4-1]: parallel straight edges p4-r1-1 and p5-r1-1 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal),icon_set/model/icons/symbol/dollar_sign_over_lines_sub32_2b92191a_aade_44ba_aa7c_ede48d8c51ac.py
70,dots-vertical-three-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (14, 0, 18, 32) does not match the VRECT_S envelope (8, 0, 24, 32) (deltas [6.0, 0.0, 6.0, 0.0], tolerance 0.0)",icon_set/model/icons/symbol/dots_vertical_three_sub32_0a262ad5_77ea_4fea_bb24_97e6f7a6c26e.py
71,double-bread-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (0, 2.9998, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 0.9998, 0.0, 1.0], tolerance 0.0)",icon_set/model/icons/symbol/double_bread_sub32_8dc3acdf_3a36_428c_9473_1d9cbc8584e9.py
72,downhill-skier-sub32,fail,symbol,Grid,"style/grid [p1-r1-1]: radius_x must be a positive integer, got 2.5
style/grid [p1-r1-1]: radius_y must be a positive integer, got 2.5
style/grid [p1-r1-2]: radius_x must be a positive integer, got 2.5
style/grid [p1-r1-2]: radius_y must be a positive integer, got 2.5
holes/pinches: 1 undersized holes; 0 pinches",icon_set/model/icons/symbol/downhill_skier_sub32_c92285fd_d928_4a7c_a2c3_2e02288f502f.py
73,download-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-1-1]: path-1-1 and path-2-1 are 6 apart on centerlines nearest (16, 27)<->(16, 21); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/download_sub32_58449573_38e8_4aa0_bebb_14002004402f.py
74,dumbbell-sports-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-3-1]: parallel straight edges p3-r1-2 and p3-r1-4 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-2-1]: parallel straight edges p2-r1-3 and p2-r1-1 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/dumbbell_sports_sub32_c7617317_0663_433d_b73d_2bfd2f6407c8.py
75,dumbbell-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-2-1]: parallel straight edges p2-r1-3, p2-r1-4 and p2-r1-9, p2-r1-8 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: parallel straight edges p1-r1-3, p1-r1-4 and p1-r1-9, p1-r1-8 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/dumbbell_sub32_97bb5439_4937_4e06_86b2_6f75d7c1665c.py
76,dumbbell-tall-plates-sub32,fail,symbol,Spacing,"mic [path-2-1]: parallel straight edges p2-r1-3, p2-r1-4 and p2-r1-9, p2-r1-8 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: parallel straight edges p1-r1-3, p1-r1-4 and p1-r1-9, p1-r1-8 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/dumbbell_tall_plates_sub32_9c8857a3_198d_47d1_be28_3a6d0762e293.py
77,electric-plug-bolt-content-sub32,fail,symbol,Spacing,"mic [path-2-1]: parallel straight edges p2-r1-1 and p1-r1-1 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-5-1]: parallel straight edges p5-r1-1 and p5-r1-3 are 6.36396 apart on centerlines (ink gap 2.36396); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/electric_plug_bolt_content_sub32_1fed8230_55dc_4ab0_90b8_ea4b658f60cf.py
78,empty-battery-content-sub32,fail,symbol,Spacing,mic [path-2-1]: parallel straight edges p2-r1-1 and p1-r1-3 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal),icon_set/model/icons/symbol/empty_battery_content_sub32_85092961_e906_49b8_a4e0_732ce5ffbef0.py
79,exclamation-mark-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (14, 0, 18, 32) does not match the VRECT_S envelope (8, 0, 24, 32) (deltas [6.0, 0.0, 6.0, 0.0], tolerance 0.0)",icon_set/model/icons/symbol/exclamation_mark_sub32_22dbcbb2_ab8c_4fd4_be6b_b3ff28378c82.py
80,female-user-profile-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
holes/pinches: 1 undersized holes; 0 pinches",icon_set/model/icons/symbol/female_user_profile_sub32_b7558322_6681_447e_8b8a_0f4a588a3f0e.py
81,fish-and-hook-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (0, 3, 32, 29.5179) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 0.4821], tolerance 0.0)",icon_set/model/icons/symbol/fish_and_hook_sub32_baa1fd0f_249e_41b9_9925_8471559e72c2.py
82,fish-and-knife-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-1-1]: parallel straight edges p1-r1-1 and p1-r1-3 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
holes/pinches: 1 undersized holes; 0 pinches",icon_set/model/icons/symbol/fish_and_knife_sub32_90a8c206_2f73_4de0_bff5_b2af71b9dd6b.py
83,fish-outline-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-1-1]: path-1-1 and path-2-1 are 5.4841 apart on centerlines nearest (23.1989, 24.4545)<->(20, 20); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/fish_outline_sub32_ef113d95_603a_4326_bef0_b182c1dd8c4f.py
84,flower-nature-sub32,fail,symbol,Bounds; Spacing; Symmetry,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-1-1]: path-1-1 and path-2-1 are 5.99449 apart on centerlines nearest (10, 10)<->(13.681, 14.7312); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
symmetry [p1-r1-1]: ink is 98.46% mirrored about vertical axis 16, but centerline differs by 0.238102 units near [11.59521484375, 6.294071197509766]
symmetry [p1-r1-7]: ink is 98.46% mirrored about vertical axis 16, but centerline differs by 0.356883 units near [14.822265625, 26.51171875]
symmetry [p1-r1-8]: ink is 98.46% mirrored about vertical axis 16, but centerline differs by 0.356877 units near [17.37534734606743, 26.21449640393257]
symmetry [p1-r1-14]: ink is 98.46% mirrored about vertical axis 16, but centerline differs by 0.2381 units near [20.248671282082796, 6.4739592038095]
holes/pinches: 1 undersized holes; 1 pinches",icon_set/model/icons/symbol/flower_nature_sub32_716d6384_fbda_40f6_8a5b_9a36c35f5b30.py
85,fragile-upright-content-sub32,fail,symbol,Spacing; Grid,"style/grid [p1-r1-3]: radius_x must be a positive integer, got 5.5
style/grid [p1-r1-3]: radius_y must be a positive integer, got 5.5
mic [path-1-1]: path-1-1 and path-2-1 are 0 apart on centerlines nearest (7, 18.4769)<->(7, 18.4769); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/fragile_upright_content_sub32_25d79f58_c01d_4a82_8565_6562d2773dd8.py
86,fragmented-brain-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
holes/pinches: 1 undersized holes; 0 pinches",icon_set/model/icons/symbol/fragmented_brain_sub32_fc4c0825_2444_4f46_a5a5_c79974a41e25.py
87,franc-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)",icon_set/model/icons/symbol/franc_sub32_05008f11_fec7_4d0a_8597_ced5d395fad3.py
88,front-loading-washing-machine-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-1-1]: path-1-1 and path-2-1 are 6 apart on centerlines nearest (5, 19)<->(11, 19); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-1-1]: path-1-1 and path-3-1 are 6 apart on centerlines nearest (12, 2)<->(12, 8); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-1-1]: path-1-1 and path-4-1 are 6 apart on centerlines nearest (20, 2)<->(20, 8); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/front_loading_washing_machine_sub32_bb26d652_342b_4c2b_a76b_a3e5b0d67d4b.py
89,gas-pump-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-1-1]: parallel straight edges p1-r1-1 and p2-r1-1 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: path-1-1 and path-2-1 are 6 apart on centerlines nearest (19, 9)<->(13, 9); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/gas_pump_sub32_5e926d0b_c0ce_4cda_8027_a4553f9978ac.py
90,gauge-speed-sub32,fail,symbol,Other,holes/pinches: 1 undersized holes; 0 pinches,icon_set/model/icons/symbol/gauge_speed_sub32_d60f8be4_17a7_4927_a51d_f9819421174e.py
91,go-text-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 4.39792, 32, 27.6021) does not match the HRECT_L envelope (0, 4, 32, 28) (deltas [0.0, 0.3979, 0.0, 0.3979], tolerance 0.0)
mic [path-3-1]: parallel straight edges p3-r1-4 and p2-r1-1 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: path-1-1 and path-3-1 are 6 apart on centerlines nearest (13, 10)<->(19, 10); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/go_text_sub32_6526c9e6_1222_445f_b7c5_c16580a2e930.py
92,half-circle-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-1-1]: parallel straight edges p1-r1-3 and p1-r1-5 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: parallel straight edges p1-r1-7 and p1-r1-1 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/half_circle_sub32_ecc2f033_f9eb_4a2f_9a8d_470f5361b748.py
